"period","anio","Y","Y_eff","E","CO2","Cstock","damage","YD","Cd","Hh","TXd","Ns","def","phi","sigma","omega","E_g","E_c","Y_g","Y_c","CO2_g","CO2_c","esc"
16,2037,102655.445776423,102655.445776423,213158.022325326,8747.80842727852,39352.4981715375,0,89409.1074518742,89128.1948648541,67066.460523304,13246.338324549,2538919.00614916,0.273646064166877,2.07644144656066,0.0410390766992924,0.348482314677923,74281.8010120978,138876.221313228,57593.6906049301,45061.7551714931,655.263585331002,8092.54484194752,"1. Sin componente ecologico"
17,2038,102933.97357013,102933.97357013,213736.368980198,8771.54324000661,39542.047713894,0,89651.6948883959,89406.7226585612,67311.4327531387,13282.2786817344,2545807.67633938,0.237989675651455,2.07644144656066,0.0410390766992924,0.348482314677923,74483.344593074,139253.024387124,57749.9555108425,45184.0180592879,657.041465884132,8114.50177412248,"1. Sin componente ecologico"
18,2039,103176.866120511,103176.866120511,214240.72113887,8792.24138692979,39710.958434659,0,89863.2453421688,89649.615208942,67525.0628863655,13313.6207783423,2551815.00023681,0.207052357044109,2.07644144656066,0.0410390766992924,0.348482314677923,74659.1024007407,139581.618738129,57886.2276617358,45290.6384587753,658.591881862641,8133.64950506714,"1. Sin componente ecologico"
19,2040,103388.68265144,103388.68265144,214680.545762758,8810.29138340378,39861.0830980659,0,90047.7297290487,89861.4317398714,67711.3608755428,13340.9529223918,2557053.73854363,0.180191858914942,2.07644144656066,0.0410390766992924,0.348482314677923,74812.3735037257,139868.172259032,58005.0649592128,45383.6176922277,659.943935408748,8150.34744799504,"1. Sin componente ecologico"
20,2041,103573.399073186,103573.399073186,215064.098596731,8826.03203757542,39994.209225629,0,90208.6109202515,90046.1481616169,67873.8236341774,13364.7881529345,2561622.22519693,0.156857610243962,2.07644144656066,0.0410390766992924,0.348482314677923,74946.0348831098,140118.063713621,58108.6980432951,45464.7010298909,661.123005295074,8164.90903228034,"1. Sin componente ecologico"
21,2042,103734.482612383,103734.482612383,215398.579133877,8839.7588099938,40112.0299766791,0,90348.9087423089,90207.2317008135,68015.5006756728,13385.5738700737,2565606.21314955,0.136576611679615,2.07644144656066,0.0410390766992924,0.348482314677923,75062.5954349093,140335.983698968,58199.0721627377,45535.4104496448,662.151223297865,8177.60758669593,"1. Sin componente ecologico"
22,2043,103874.956893743,103874.956893743,215690.265753869,8851.7293595638,40216.1269252264,0,90471.2566608372,90347.7059821736,68139.0513543365,13403.7002329054,2569080.48399921,0.118941737602892,2.07644144656066,0.0410390766992924,0.348482314677923,75164.2430634046,140526.022690465,58277.8836883944,45597.0732053483,663.047889622331,8188.68146994147,"1. Sin componente ecologico"
23,2044,103997.458695119,103997.458695119,215944.633571525,8862.16837994241,40307.9614292419,0,90577.9512121049,90470.2077835498,68246.7947828916,13419.507483014,2572110.25167933,0.103601982112806,2.07644144656066,0.0410390766992924,0.348482314677923,75252.8857492809,140691.747822244,58346.6119550114,45650.8467401075,663.829835177895,8198.33854476452,"1. Sin componente ecologico"
24,2045,104104.287441243,104104.287441243,216166.457207662,8871.27181715954,40388.8720997469,0,90670.995110253,90577.036529674,68340.7533634706,13433.2923309901,2574752.38655962,0.0902542852829126,2.07644144656066,0.0410390766992924,0.348482314677923,75330.1873634521,140836.26984421,58406.5470291368,45697.7404121063,664.511737503411,8206.76007965613,"1. Sin componente ecologico"
25,2046,104197.448365167,104197.448365167,216359.900411296,8879.21054763045,40460.0764998561,0,90752.1348393184,90670.1974535975,68422.6907491915,13445.3135258482,2577056.48293357,0.0786366528225991,2.07644144656066,0.0410390766992924,0.348482314677923,75397.5988988133,140962.301512483,58458.8139243642,45738.6344408024,665.106396272472,8214.10415135798,"1. Sin componente ecologico"
26,2047,104278.690147563,104278.690147563,216528.594215456,8886.13358559804,40522.6756807351,0,90822.8934356781,90751.4392359934,68494.1449488762,13455.7967118844,2579065.78992999,0.0685223410301581,2.07644144656066,0.0410390766992924,0.348482314677923,75456.3857061586,141072.208509297,58504.3937184425,45774.29642912,665.624973550168,8220.50861204787,"1. Sin componente ecologico"
27,2048,104349.537740404,104349.537740404,216675.705093621,8892.17088021037,40577.6605254344,0,90884.5990762623,90822.2868288351,68556.4571963034,13464.9386641419,2580818.02332243,0.0597149242598604,2.07644144656066,0.0410390766992924,0.348482314677923,75507.651245496,141168.053848125,58544.1419686339,45805.3957717703,666.077203311058,8226.09367689932,"1. Sin componente ecologico"
28,2049,104411.320991133,104411.320991133,216803.994396138,8897.43575473607,40625.9191484749,0,90938.4100091493,90884.0700795642,68610.7971258885,13472.910981984,2582346.07347458,0.0520440973922285,2.07644144656066,0.0410390766992924,0.348482314677923,75552.3577985856,141251.636597553,58578.8047709835,45832.5162201498,666.471574151104,8230.96418058497,"1. Sin componente ecologico"
29,2050,104465.199604613,104465.199604613,216915.87018225,8902.02703370311,40668.2448088705,0,90985.3362945061,90937.9486930435,68658.1847273511,13479.8633101065,2583678.62271006,0.04536209344541,2.07644144656066,0.0410390766992924,0.348482314677923,75591.3445314863,141324.525650764,58609.0327649441,45856.1668396685,666.815488623192,8235.21154507992,"1. Sin componente ecologico"
1,2022,87862.8050418614,85227.5784024105,182441.97,7487.25,34332.5807866212,0.0299925166080836,73890.0362688622,74335.5541302923,56588.8123417773,11337.5421335483,2173061,2.49219083886239,2.07644144656066,0.0410390766992924,0.348482314677923,63577.8000000001,118864.17,49294.4448391306,38568.3602027308,560.840160144643,6926.40983985536,"2. Global"
2,2023,87450.345499883,84830.1746981063,181585.521912006,7452.10216122787,34297.4329478491,0.0299618118922143,73545.8550565253,73923.0945883138,56211.5728099888,11284.319641581,2162859.87172594,2.56480549867134,2.07644144656066,0.0410390766992924,0.348482314677923,63279.3429878947,118306.178924112,49063.0390226336,38387.3064772493,558.207375140042,6893.89478608783,"2. Global"
