"t","C","Y","G","defY","defC","defG","Cr","Yr","Gr","YDr","Sr","Hr","Hr_lag"
2004,5536779.19198068,8150137.80104376,1139096.45459471,0.354032139171842,0.387595725331198,0.269101816831462,14284933.5793101,23020898.1029482,4232957.13127096,18787940.9716772,4503007.39236715,35545785.520438,31042778.1280709
2005,6686350.55770278,9577022.22686042,1294131.6353278,0.400103492751263,0.446564497185626,0.302405039284823,14972866.4052831,23936362.4671337,4279464.51682279,19656897.9503109,4684031.54502783,40229817.0654659,35545785.520438
2006,8005735.25447474,11613319.990806,1528898.34476224,0.452054175391961,0.508452799187129,0.346192316170464,15745287.0104632,25690106.6796617,4416326.62929877,21273780.050363,5528493.03989981,45758310.1053657,40229817.0654659
2007,9611264.04487598,13889052.9111363,1778530.54030865,0.499595744087797,0.566924769120464,0.392944568723169,16953332.3791569,27800582.9222906,4526161.40258101,23274421.5197096,6321089.14055277,52079399.2459184,45758310.1053657
2008,11443597.1770748,16208974.6985124,2200769.44468874,0.556668490933072,0.637087610362654,0.462031729223136,17962360.2640156,29117823.1973277,4763243.09672223,24354580.1006054,6392219.83658981,58471619.0825082,52079399.2459184
2009,11685019.5072197,17626147.744796,2775788.32914651,0.610672742651324,0.648757918810056,0.548660130458638,18011370.9111285,28863491.8733552,5059212.75312307,23804279.1202321,5792908.2091036,64264527.2916119,58471619.0825082
2010,12950245.1894824,19802010.5927076,3291234.88250079,0.651153293573325,0.679007250842194,0.623574645813186,19072322.3845103,30410674.0888008,5278012.67193727,25132661.4168635,6060339.0323532,70324866.323965,64264527.2916119
2011,14419471.9698583,21623524.5564808,3667746.82026405,0.681062231618565,0.707653678941798,0.687605551129617,20376453.0574061,31749704.436101,5334085.52947046,26415618.9066305,6039165.84922439,76364032.1731894,70324866.323965
2012,15938569.4430217,23752868.5692912,3988117.96371065,0.713301216653021,0.729295437967927,0.739367681730244,21854749.9589908,33299913.1569483,5393957.6509184,27905955.5060299,6051205.54703917,82415237.7202286,76364032.1731894
2013,16846917.8307351,25462954.6393527,4361852.29040706,0.746043251347899,0.75643281176482,0.782307974194226,22271532.3406316,34130668.1527485,5575620.38773764,28555047.7650109,6283515.42437927,88698753.1446079,82415237.7202286
2014,18545546.6808013,28001327.620471,4763390.7556268,0.792349562143915,0.794407667673494,0.829904770360513,23345125.4758327,35339613.9258358,5739683.54653218,29599930.3793036,6254804.90347097,94953558.0480788,88698753.1446079
2015,19596141.6973717,30171918.8637184,5117230.42943168,0.823688695919513,0.801916155713444,0.870785577778675,24436646.5967225,36630245.1559523,5876567.733799,30753677.4221533,6317030.82543082,101270588.87351,94953558.0480788
2016,20535471.5692603,32056288.212048,5356182.32204896,0.839822819203426,0.809952847509516,0.890581014666136,25353909.9620475,38170299.1143459,6014256.12475795,32156042.9895879,6802133.02754039,108072721.90105,101270588.87351
2017,22365798.5201909,34343647.4976052,5617993.83805779,0.86383237598349,0.835722793042424,0.916125234098956,26762221.5241598,39757305.2972277,6132342.64154213,33624962.6556856,6862741.13152577,114935463.032576,108072721.90105
2018,23374534.2047043,36014718.708004,5832848.00418321,0.882820585607208,0.856716707145045,0.945846823177234,27283854.755907,40795059.9421432,6166799.80442271,34628260.1377205,7344405.3818135,122279868.414389,114935463.032576
2019,24324029.647595,37832149.7840879,6337339.44510508,0.905484689931872,0.876688904809272,0.970433543884339,27745337.6153846,41781103.7610524,6530420.84647931,35250682.9145731,7505345.29918852,129785213.713578,122279868.414389
2020,22794603.7771636,36495246.0817594,6461385.53678013,0.912471069157662,0.882804717098127,0.981165480032424,25820663.7727219,39996058.302922,6585418.73748616,33410639.5654358,7589975.79271394,137375189.506292,129785213.713578
2021,25533345.7599518,40326625.9359246,6666313.06477457,0.934551031044433,0.912707172552455,0.995415079044728,27975397.2882078,43150801.3969622,6697018.36461232,36453783.0323499,8478385.74414207,145853575.250434,137375189.506292
2022,28823571.769525,44810030.5713493,6898897.96490025,1,1,1,28823571.769525,44810030.5713493,6898897.96490025,37911132.6064491,9087560.83692405,154941136.087358,145853575.250434
2023,30358241.3345783,47059272.1622801,6999357.76731549,0.988829230669269,1.00028338448916,1.00772446831855,30349640.7171475,47590899.1185758,6945705.8822779,40645193.2362979,10295552.5191504,165236688.606508,154941136.087358
2024,31394858.191729,49115934.7426349,7209481.22933367,0.994095535267289,0.999416266316645,1.03119124738644,31413195.1318293,49407660.5317705,6991410.4174237,42416250.1143468,11003054.9825175,176239743.589026,165236688.606508
