"riqueza","especificacion","alpha1","alpha2","razon_implicita","razon_observada","DW_p","coint_p","signo","magnitud","coherencia","admisible"
"H1 ahorro acumulado","S1 niveles con constante",0.556341542843134,0.033092680532972,13.4065433809397,3.84724921738747,1.5558895140663e-13,NA,TRUE,TRUE,FALSE,FALSE
"H1 ahorro acumulado","S2 niveles sin constante",0.813269145002207,-0.0134517851331611,-13.8814925416455,3.84724921738747,1.02581365973211e-15,NA,FALSE,FALSE,FALSE,FALSE
"H1 ahorro acumulado","S3 primeras diferencias",0.727145220517521,-0.00481101492882447,-56.714598378756,3.84724921738747,0.0274005478618958,NA,FALSE,FALSE,FALSE,FALSE
"H1 ahorro acumulado","S4 normalizada por YD",0.840143345495943,-0.0236787244544239,-6.75106696780667,3.84724921738747,6.34621496682031e-17,NA,FALSE,FALSE,FALSE,FALSE
"H1 ahorro acumulado","S5 corrección de error",0.895223866556106,-0.0232118112010882,-4.51391459874455,3.84724921738747,0.00912726462886244,0.0323072703747417,FALSE,FALSE,FALSE,FALSE
"H1 ahorro acumulado","S6 restringida a la razón observada",0.575710692713521,0.11028381144869,3.84724921738747,3.84724921738747,3.07560539543004e-35,NA,TRUE,TRUE,TRUE,TRUE
"H2 dinero amplio","S1 niveles con constante",0.702265521930995,0.0434056130970066,6.85935428221236,0.629425424866378,3.20824638568582e-16,NA,TRUE,TRUE,FALSE,FALSE
"H2 dinero amplio","S2 niveles sin constante",0.826924310408602,-0.0988047104333836,-1.75169472014282,0.629425424866378,2.17166850308021e-13,NA,FALSE,FALSE,FALSE,FALSE
"H2 dinero amplio","S3 primeras diferencias",0.721889322263676,0.0607975071399922,4.57437633250236,0.629425424866378,0.0328364658281476,NA,TRUE,TRUE,FALSE,FALSE
"H2 dinero amplio","S4 normalizada por YD",0.864998811193195,-0.158143680369111,-0.853661610073249,0.629425424866378,3.44066846291348e-13,NA,FALSE,FALSE,FALSE,FALSE
"H2 dinero amplio","S5 corrección de error",0.690106349457332,0.0227650389664434,13.6127002022471,0.629425424866378,0.0159339505111907,0.300865586628366,TRUE,TRUE,FALSE,FALSE
"H2 dinero amplio","S6 restringida a la razón observada",0.273649039724671,1.15399049923909,0.629425424866378,0.629425424866378,1.09370934707044e-18,NA,TRUE,FALSE,TRUE,FALSE
"H3 déficit acumulado","S1 niveles con constante",0.677706218566233,0.0665025852475115,4.84633462344725,0.755486494148093,4.82575004337661e-16,NA,TRUE,TRUE,FALSE,FALSE
"H3 déficit acumulado","S2 niveles sin constante",0.793846780195669,-0.0366002478337457,-5.63256349357986,0.755486494148093,2.15213400944335e-16,NA,FALSE,FALSE,FALSE,FALSE
"H3 déficit acumulado","S3 primeras diferencias",0.716758059312741,0.0602447035823856,4.70152434728011,0.755486494148093,0.0295558590411425,NA,TRUE,TRUE,FALSE,FALSE
"H3 déficit acumulado","S4 normalizada por YD",0.831995176040051,-0.0906450626709832,-1.85343601746695,0.755486494148093,4.77995332917542e-20,NA,FALSE,FALSE,FALSE,FALSE
"H3 déficit acumulado","S5 corrección de error",0.58352637061747,0.163282122660973,2.55063826091522,0.755486494148093,0.0140566502766786,0.854483235294236,TRUE,TRUE,FALSE,FALSE
"H3 déficit acumulado","S6 restringida a la razón observada",0.481433927529137,0.686400189133245,0.755486494148093,0.755486494148093,5.62826040787599e-29,NA,TRUE,FALSE,TRUE,FALSE
