"especificacion","alpha1","alpha2","R2","DW_p","nota","razon_SFC","H0_millUSD","H0_pct_PIB","signo_ok","magnitud_ok","sfc_ok"
"1. Separadas, sin constante (original)",0.773656388119237,0.236102564022238,0.998680794937497,3.53886403507534e-16,"cada regresor absorbe toda la variación",0.95866647115041,71199.874720298,81.0352852795622,TRUE,FALSE,FALSE
"2. Conjunta en niveles, con constante",0.556341542843134,0.033092680532972,0.99322834811947,1.5558895140663e-13,"",13.4065433809397,996258.947893362,1133.88019813242,TRUE,FALSE,FALSE
"3. Conjunta en niveles, sin constante",0.813269145002207,-0.0134517851331611,0.998960049344733,1.02581365973211e-15,"",-13.8814925416455,-1030723.68844848,-1173.1058301148,FALSE,FALSE,FALSE
"4. Primeras diferencias, con constante",0.727145220517521,-0.00481101492882447,0.832410892918875,0.0274005478618958,"",-56.714598378756,-4212999.28488728,-4794.97471413533,FALSE,FALSE,FALSE
"5. Primeras diferencias, sin constante",0.726489284462726,-0.00561549341034361,0.919718286077823,0.0427986760719812,"",-48.7064440381095,-3618128.09259134,-4117.92918615279,FALSE,FALSE,FALSE
"6. Normalizada por el ingreso",0.840143345495943,-0.0236787244544239,0.436362097647474,6.34621496682031e-17,"la constante es alpha1",-6.75106696780667,-501160.748021109,-570.390107375169,FALSE,FALSE,FALSE
"7. Corrección de error (largo plazo)",0.895223866556106,-0.0232118112010882,0.993555937046619,0.00912726462886244,"elasticidades convertidas a propensiones",-4.51391459874455,-334801.321059256,-381.050116599103,FALSE,FALSE,FALSE
"8. Restringida a la coherencia SFC",0.575710692713521,0.11028381144869,0.557879412550219,3.07560539543004e-35,"impone (1-a1)/a2 = razón observada de 2022",3.84724921738747,285886.831736017,325.378675993566,TRUE,FALSE,TRUE
